nb_ville,temps,memoire,factorielle, rs_temps
4,29.000000,24,24,5.114654541015625
5,58.000000,120,120,5.119335412979126
6,464.000000,720,720,5.147562265396118
7,4451.000000,5040,5040,5.19987678527832
8,29557.000000,40320,40320,5.3103320598602295
9,280652.000000,362880,362880,5.37992787361145
10,3154227.000000,3628800,3628800,5.423942804336548
11,36299822.000000,39916800,39916800,5.37371563911438
